<http://www.yso.fi/onto/yso/p4734>	motivation (mental objects)
<http://www.yso.fi/onto/yso/p16213>	transfer of training
<http://www.yso.fi/onto/yso/p15765>	physical education (school subject)
<http://www.yso.fi/onto/yso/p13035>	physical hobbies
<http://www.yso.fi/onto/yso/p5619>	attitudes
<http://www.yso.fi/onto/yso/p11617>	young people
<http://www.yso.fi/onto/yso/p127>	theories
<http://www.yso.fi/onto/yso/p510>	models (objects)
<http://www.yso.fi/onto/yso/p15519>	motivational psychology
<http://www.yso.fi/onto/yso/p3807>	sport psychology
<http://www.yso.fi/onto/yso/p15764>	physical education (upbringing)
