<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p916>	physical training
<http://www.yso.fi/onto/yso/p22290>	insulin resistance
<http://www.yso.fi/onto/yso/p3066>	metabolism
<http://www.yso.fi/onto/yso/p4153>	fats (organic compounds)
<http://www.yso.fi/onto/yso/p3790>	diets
<http://www.yso.fi/onto/yso/p823>	obesity
<http://www.yso.fi/onto/yso/p826>	overweight
<http://www.yso.fi/onto/yso/p11006>	mice
<http://www.yso.fi/onto/yso/p6238>	metabolic syndrome
<http://www.yso.fi/onto/yso/p8303>	adult-onset diabetes
<http://www.yso.fi/onto/yso/p12214>	sports physiology
<http://www.yso.fi/onto/yso/p8303>	adult-onset diabetes
