<http://www.yso.fi/onto/yso/p1831>	work satisfaction
<http://www.yso.fi/onto/yso/p12025>	physical education teachers
<http://www.yso.fi/onto/yso/p2639>	change of career
<http://www.yso.fi/onto/yso/p3402>	motifs
<http://www.yso.fi/onto/yso/p9365>	professional skills
<http://www.yso.fi/onto/yso/p10899>	working conditions
<http://www.yso.fi/onto/yso/p2168>	teaching premises
<http://www.yso.fi/onto/yso/p2750>	teaching groups
<http://www.yso.fi/onto/yso/p129>	work burden
<http://www.yso.fi/onto/yso/p8543>	work communities
<http://www.yso.fi/onto/yso/p15140>	appreciation
<http://www.yso.fi/onto/yso/p5290>	gender differences
<http://www.yso.fi/onto/yso/p13177>	disruptive behaviour
<http://www.yso.fi/onto/yso/p14983>	career development
