<http://www.yso.fi/onto/yso/p1835>	well-being at work
<http://www.yso.fi/onto/yso/p16262>	working life
<http://www.yso.fi/onto/yso/p10899>	working conditions
<http://www.yso.fi/onto/yso/p130>	exhaustion
<http://www.yso.fi/onto/yso/p129>	work burden
<http://www.yso.fi/onto/yso/p23893>	work engagement
<http://www.yso.fi/onto/yso/p14041>	performance (physical capacity)
<http://www.yso.fi/onto/yso/p10590>	social interaction
<http://www.yso.fi/onto/yso/p337>	recovery (return)
<http://www.yso.fi/onto/yso/p5290>	gender differences
<http://www.yso.fi/onto/yso/p272>	organisations (systems)
<http://www.yso.fi/onto/yso/p1075>	employees
