<http://www.yso.fi/onto/yso/p261>	information
<http://www.yso.fi/onto/yso/p7009>	meanings (information)
<http://www.yso.fi/onto/yso/p24061>	language learning
<http://www.yso.fi/onto/yso/p2945>	learning
<http://www.yso.fi/onto/yso/p2630>	teaching and instruction
<http://www.yso.fi/onto/yso/p12222>	content and language integrated learning
<http://www.yso.fi/onto/yso/p567>	lessons
<http://www.yso.fi/onto/yso/p9020>	integrated teaching
<http://www.yso.fi/onto/yso/p568>	classroom work
<http://www.yso.fi/onto/yso/p21292>	upper comprehensive school
<http://www.yso.fi/onto/yso/p6914>	school-age children
<http://www.yso.fi/onto/yso/p8131>	school children
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p10590>	social interaction
<http://www.yso.fi/onto/yso/p14827>	applied linguistics
<http://www.yso.fi/onto/yso/p21012>	language research
<http://www.yso.fi/onto/yso/p15994>	theory of knowledge
<http://www.yso.fi/onto/yso/p7828>	conversation analysis
