<http://www.yso.fi/onto/yso/p8420>	leadership (properties)
<http://www.yso.fi/onto/yso/p23894>	managers and executives
<http://www.yso.fi/onto/yso/p18129>	business leaders
<http://www.yso.fi/onto/yso/p554>	leadership (activity)
<http://www.yso.fi/onto/yso/p23085>	ethicality
<http://www.yso.fi/onto/yso/p4191>	supervisors
<http://www.yso.fi/onto/yso/p6374>	teams
<http://www.yso.fi/onto/yso/p4081>	teamwork
<http://www.yso.fi/onto/yso/p272>	organisations (systems)
<http://www.yso.fi/onto/yso/p17923>	social constructivism
<http://www.yso.fi/onto/yso/p7829>	discourse analysis
<http://www.yso.fi/onto/yso/p94426>	Finland
