<http://www.yso.fi/onto/yso/p3927>	data systems
<http://www.yso.fi/onto/yso/p10655>	systems work
<http://www.yso.fi/onto/yso/p24272>	business processes
<http://www.yso.fi/onto/yso/p9998>	outsourcing
<http://www.yso.fi/onto/yso/p23542>	electronic services
<http://www.yso.fi/onto/yso/p12069>	service producers
<http://www.yso.fi/onto/yso/p21761>	business models
<http://www.yso.fi/onto/yso/p17097>	software engineering
<http://www.yso.fi/onto/yso/p21530>	software development
<http://www.yso.fi/onto/yso/p8471>	testing
<http://www.yso.fi/onto/yso/p27278>	logistics services
<http://www.yso.fi/onto/yso/p104984>	People's Republic of China
