<http://www.yso.fi/onto/yso/p1631>	linguistics
<http://www.yso.fi/onto/yso/p21012>	language research
<http://www.yso.fi/onto/yso/p7829>	discourse analysis
<http://www.yso.fi/onto/yso/p15521>	heavy rock
<http://www.yso.fi/onto/yso/p5072>	ensembles (groups)
<http://www.yso.fi/onto/yso/p8500>	Christian music
<http://www.yso.fi/onto/yso/p6>	popular culture
<http://www.yso.fi/onto/yso/p8499>	gospel music
<http://www.yso.fi/onto/yso/p4047>	websites
<http://www.yso.fi/onto/yso/p11302>	use of language
<http://www.yso.fi/onto/yso/p12061>	rock lyrics
<http://www.yso.fi/onto/yso/p1353>	sociolinguistics
<http://www.yso.fi/onto/yso/p36>	communication
<http://www.yso.fi/onto/yso/p8550>	targeted communication
<http://www.yso.fi/onto/yso/p25715>	visual expression
<http://www.yso.fi/onto/yso/p14270>	Christianity (properties related to religion)
<http://www.yso.fi/onto/yso/p3937>	religiousness
<http://www.yso.fi/onto/yso/p4510>	symbolism (cultural phenomena)
<http://www.yso.fi/onto/yso/p14387>	Bible
<http://www.yso.fi/onto/yso/p94426>	Finland
<http://www.yso.fi/onto/yso/p105078>	United States of America
