<http://www.yso.fi/onto/yso/p24852>	international mobility
<http://www.yso.fi/onto/yso/p6120>	mobility of labour
<http://www.yso.fi/onto/yso/p8831>	labour market
<http://www.yso.fi/onto/yso/p19401>	labour market policy
<http://www.yso.fi/onto/yso/p6156>	international employment contracts
<http://www.yso.fi/onto/yso/p1186>	labour market policy
<http://www.yso.fi/onto/yso/p2245>	collective labour agreements
<http://www.yso.fi/onto/yso/p10899>	working conditions
<http://www.yso.fi/onto/yso/p22437>	labour immigration
<http://www.yso.fi/onto/yso/p13109>	migrant workers
<http://www.yso.fi/onto/yso/p1731>	integration (passive)
<http://www.yso.fi/onto/yso/p10664>	regulation (control)
<http://www.yso.fi/onto/yso/p14072>	supervision of the interests of another party
<http://www.yso.fi/onto/yso/p12361>	federations of trade unions
<http://www.yso.fi/onto/yso/p7713>	institutionalism
<http://www.yso.fi/onto/yso/p94111>	Europe
<http://www.yso.fi/onto/yso/p105087>	Germany
