<http://www.yso.fi/onto/yso/p11405>	literacy
<http://www.yso.fi/onto/yso/p11406>	reading (activity)
<http://www.yso.fi/onto/yso/p9484>	orthography
<http://www.yso.fi/onto/yso/p2945>	learning
<http://www.yso.fi/onto/yso/p6720>	multilingualism
<http://www.yso.fi/onto/yso/p10957>	mother tongue
<http://www.yso.fi/onto/yso/p10957>	mother tongue
<http://www.yso.fi/onto/yso/p5296>	curriculum subjects
<http://www.yso.fi/onto/yso/p17005>	second language
<http://www.yso.fi/onto/yso/p6914>	school-age children
<http://www.yso.fi/onto/yso/p988>	educational methods
<http://www.yso.fi/onto/yso/p17867>	computer-assisted teaching
<http://www.yso.fi/onto/yso/p23092>	educational games
<http://www.yso.fi/onto/yso/p10746>	teacher training
<http://www.yso.fi/onto/yso/p1117>	teachers
<http://www.yso.fi/onto/yso/p5797>	language skills
<http://www.yso.fi/onto/yso/p11284>	teachings skills
<http://www.yso.fi/onto/yso/p17533>	Swahili language
<http://www.yso.fi/onto/yso/p28523>	Kikuyu language
<http://www.yso.fi/onto/yso/p94080>	Africa
<http://www.yso.fi/onto/yso/p105235>	Kenya
