<http://www.yso.fi/onto/yso/p22437>	labour immigration
<http://www.yso.fi/onto/yso/p10322>	foreign labour
<http://www.yso.fi/onto/yso/p13109>	migrant workers
<http://www.yso.fi/onto/yso/p6165>	migrants
<http://www.yso.fi/onto/yso/p8831>	labour market
<http://www.yso.fi/onto/yso/p23554>	labour status
<http://www.yso.fi/onto/yso/p2335>	human agency
<http://www.yso.fi/onto/yso/p20331>	cheap labour
<http://www.yso.fi/onto/yso/p6324>	labour market organisations
<http://www.yso.fi/onto/yso/p16257>	freedom of movement
<http://www.yso.fi/onto/yso/p6120>	mobility of labour
<http://www.yso.fi/onto/yso/p10253>	migration policy
<http://www.yso.fi/onto/yso/p19401>	labour market policy
<http://www.yso.fi/onto/yso/p1186>	labour market policy
<http://www.yso.fi/onto/yso/p2248>	labour market agreements
<http://www.yso.fi/onto/yso/p9527>	Paneuropean movement
<http://www.yso.fi/onto/yso/p9527>	Paneuropean movement
<http://www.yso.fi/onto/yso/p94111>	Europe
<http://www.yso.fi/onto/yso/p105190>	Netherlands
