<http://www.yso.fi/onto/yso/p16262>	working life
<http://www.yso.fi/onto/yso/p8543>	work communities
<http://www.yso.fi/onto/yso/p16518>	intercultural communication
<http://www.yso.fi/onto/yso/p25798>	intercultural interaction
<http://www.yso.fi/onto/yso/p10590>	social interaction
<http://www.yso.fi/onto/yso/p10645>	interculturalism
<http://www.yso.fi/onto/yso/p10648>	cultural identity
<http://www.yso.fi/onto/yso/p9743>	identity (mental objects)
<http://www.yso.fi/onto/yso/p15217>	interpersonal communication
<http://www.yso.fi/onto/yso/p11302>	use of language
<http://www.yso.fi/onto/yso/p6936>	human relations
<http://www.yso.fi/onto/yso/p8542>	working relationship
<http://www.yso.fi/onto/yso/p6375>	small groups
<http://www.yso.fi/onto/yso/p6374>	teams
<http://www.yso.fi/onto/yso/p4081>	teamwork
<http://www.yso.fi/onto/yso/p10322>	foreign labour
