<http://www.yso.fi/onto/yso/p12405>	foreign policy
<http://www.yso.fi/onto/yso/p9566>	security policy
<http://www.yso.fi/onto/yso/p9565>	defence policy
<http://www.yso.fi/onto/yso/p811>	parliaments
<http://www.yso.fi/onto/yso/p9782>	diplomats
<http://www.yso.fi/onto/yso/p5047>	committees (general)
<http://www.yso.fi/onto/yso/p2421>	newspapers
<http://www.yso.fi/onto/yso/p17560>	nuclear energy
<http://www.yso.fi/onto/yso/p17503>	nuclear weapons
<http://www.yso.fi/onto/yso/p10319>	Cold War
<http://www.yso.fi/onto/yso/p5209>	international relations
<http://www.yso.fi/onto/yso/p1730>	international cooperation
<http://www.yso.fi/onto/yso/p14364>	power politics
<http://www.yso.fi/onto/yso/p3868>	internationality
<http://www.yso.fi/onto/yso/p4056>	arms proliferation
<http://www.yso.fi/onto/yso/p1780>	history
<http://www.yso.fi/onto/yso/p104990>	United Kingdom
<http://www.yso.fi/onto/yso/p105078>	United States of America
