<http://www.yso.fi/onto/yso/p10580>	employers
<http://www.yso.fi/onto/yso/p1075>	employees
<http://www.yso.fi/onto/yso/p4192>	labour (workforce)
<http://www.yso.fi/onto/yso/p8014>	providing employment
<http://www.yso.fi/onto/yso/p478>	recruitment of employees
<http://www.yso.fi/onto/yso/p10701>	university-educated labour
<http://www.yso.fi/onto/yso/p6456>	foreigners
<http://www.yso.fi/onto/yso/p10322>	foreign labour
<http://www.yso.fi/onto/yso/p22556>	academic degree holders
<http://www.yso.fi/onto/yso/p1030>	institutions of higher education
<http://www.yso.fi/onto/yso/p3390>	tertiary education
<http://www.yso.fi/onto/yso/p1246>	higher education (teaching)
<http://www.yso.fi/onto/yso/p3866>	internationalisation
<http://www.yso.fi/onto/yso/p5140>	curricula
<http://www.yso.fi/onto/yso/p22227>	connections to working life
