<http://www.yso.fi/onto/yso/p8362>	parasitism
<http://www.yso.fi/onto/yso/p4493>	parasites
<http://www.yso.fi/onto/yso/p8778>	flat worms
<http://www.yso.fi/onto/yso/p26861>	trematoda
<http://www.yso.fi/onto/yso/p10296>	larvae
<http://www.yso.fi/onto/yso/p6884>	spreading (process)
<http://www.yso.fi/onto/yso/p28481>	virulence
<http://www.yso.fi/onto/yso/p24487>	host animals
<http://www.yso.fi/onto/yso/p14692>	survival
<http://www.yso.fi/onto/yso/p1480>	bivalvia
<http://www.yso.fi/onto/yso/p17753>	Anodonta anatina
<http://www.yso.fi/onto/yso/p1198>	Cyprinidae
<http://www.yso.fi/onto/yso/p19854>	roach
<http://www.yso.fi/onto/yso/p2100>	temperature
<http://www.yso.fi/onto/yso/p3792>	water
<http://www.yso.fi/onto/yso/p7415>	distribution
