<http://www.yso.fi/onto/yso/p12594>	bedrock
<http://www.yso.fi/onto/yso/p20135>	basement (bedrock)
<http://www.yso.fi/onto/yso/p8651>	mineral aggregate
<http://www.yso.fi/onto/yso/p21163>	stones and rocks (natural objects)
<http://www.yso.fi/onto/yso/p13977>	fractures
<http://www.yso.fi/onto/yso/p13278>	advection
<http://www.yso.fi/onto/yso/p12172>	radioactive substances
<http://www.yso.fi/onto/yso/p16637>	autoradiography
<http://www.yso.fi/onto/yso/p17476>	tracers (indicators)
<http://www.yso.fi/onto/yso/p17798>	tomography
<http://www.yso.fi/onto/yso/p13541>	porosity
<http://www.yso.fi/onto/yso/p19404>	permeability
<http://www.yso.fi/onto/yso/p8171>	nuclear waste
<http://www.yso.fi/onto/yso/p25559>	final deposition
