<http://www.yso.fi/onto/yso/p554>	leadership (activity)
<http://www.yso.fi/onto/yso/p23894>	managers and executives
<http://www.yso.fi/onto/yso/p21526>	subordinates
<http://www.yso.fi/onto/yso/p4191>	supervisors
<http://www.yso.fi/onto/yso/p1044>	values (cultural objects)
<http://www.yso.fi/onto/yso/p13419>	committing oneself
<http://www.yso.fi/onto/yso/p23893>	work engagement
<http://www.yso.fi/onto/yso/p1834>	work motivation
<http://www.yso.fi/onto/yso/p10591>	interaction
<http://www.yso.fi/onto/yso/p15382>	organisational culture
<http://www.yso.fi/onto/yso/p23085>	ethicality
<http://www.yso.fi/onto/yso/p4193>	labour market relationships
<http://www.yso.fi/onto/yso/p6936>	human relations
<http://www.yso.fi/onto/yso/p408>	social networks
<http://www.yso.fi/onto/yso/p3485>	emotions
<http://www.yso.fi/onto/yso/p4823>	virtues
<http://www.yso.fi/onto/yso/p104984>	People's Republic of China
