<http://www.yso.fi/onto/yso/p17197>	large cities
<http://www.yso.fi/onto/yso/p4363>	families (groups)
<http://www.yso.fi/onto/yso/p3476>	poverty
<http://www.yso.fi/onto/yso/p6405>	non-governmental organisations
<http://www.yso.fi/onto/yso/p10997>	local communities
<http://www.yso.fi/onto/yso/p10728>	social inclusion
<http://www.yso.fi/onto/yso/p6946>	public authorities
<http://www.yso.fi/onto/yso/p8213>	communal living
<http://www.yso.fi/onto/yso/p13779>	housing communities
<http://www.yso.fi/onto/yso/p1797>	residence
<http://www.yso.fi/onto/yso/p16976>	housing policy
<http://www.yso.fi/onto/yso/p23227>	squatting
<http://www.yso.fi/onto/yso/p183300>	Manila
<http://www.yso.fi/onto/yso/p105189>	Philippines
