<http://www.yso.fi/onto/yso/p1780>	history
<http://www.yso.fi/onto/yso/p17789>	economic history
<http://www.yso.fi/onto/yso/p18834>	quantitative research
<http://www.yso.fi/onto/yso/p3395>	famine
<http://www.yso.fi/onto/yso/p3476>	poverty
<http://www.yso.fi/onto/yso/p3478>	inequality
<http://www.yso.fi/onto/yso/p3480>	income distribution
<http://www.yso.fi/onto/yso/p10762>	standard of living
<http://www.yso.fi/onto/yso/p8831>	labour market
<http://www.yso.fi/onto/yso/p4604>	years of crop failure
<http://www.yso.fi/onto/yso/p4503>	agriculture
<http://www.yso.fi/onto/yso/p8562>	households (organisations)
<http://www.yso.fi/onto/yso/p783>	agricultural production
<http://www.yso.fi/onto/yso/p5729>	climate changes
<http://www.yso.fi/onto/yso/p6172>	economic crises
<http://www.yso.fi/onto/yso/p2134>	socioeconomic factors
<http://www.yso.fi/onto/yso/p9512>	historical demography
<http://www.yso.fi/onto/yso/p10761>	living conditions
<http://www.yso.fi/onto/yso/p5003>	mortality rate
<http://www.yso.fi/onto/yso/p5004>	demographic changes
<http://www.yso.fi/onto/yso/p25011>	vulnerability
<http://www.yso.fi/onto/yso/p1971>	accumulation
<http://www.yso.fi/onto/yso/p22747>	time-series analysis
<http://www.yso.fi/onto/yso/p13953>	frequencies
<http://www.yso.fi/onto/yso/p2131>	multivariable methods
<http://www.yso.fi/onto/yso/p2130>	regression analysis
<http://www.yso.fi/onto/yso/p94426>	Finland
