<http://www.yso.fi/onto/yso/p5520>	data mining
<http://www.yso.fi/onto/yso/p27202>	big data
<http://www.yso.fi/onto/yso/p2964>	information retrieval
<http://www.yso.fi/onto/yso/p3926>	information retrieval systems
<http://www.yso.fi/onto/yso/p22929>	ontologies (information management)
<http://www.yso.fi/onto/yso/p21716>	semantic web
<http://www.yso.fi/onto/yso/p14524>	algorithms
<http://www.yso.fi/onto/yso/p13477>	optimisation
<http://www.yso.fi/onto/yso/p17635>	mathematical optimisation
<http://www.yso.fi/onto/yso/p7987>	genetic algorithms
<http://www.yso.fi/onto/yso/p27558>	cluster analysis
