<http://www.yso.fi/onto/yso/p20774>	social media
<http://www.yso.fi/onto/yso/p23472>	online communities
<http://www.yso.fi/onto/yso/p3625>	behaviour
<http://www.yso.fi/onto/yso/p2486>	behavioural patterns
<http://www.yso.fi/onto/yso/p1832>	contentment
<http://www.yso.fi/onto/yso/p13419>	committing oneself
<http://www.yso.fi/onto/yso/p23821>	smartphones
<http://www.yso.fi/onto/yso/p9414>	addiction
<http://www.yso.fi/onto/yso/p25639>	internet addiction
<http://www.yso.fi/onto/yso/p1075>	employees
<http://www.yso.fi/onto/yso/p3367>	time use
