<http://www.yso.fi/onto/yso/p5424>	microbes
<http://www.yso.fi/onto/yso/p27039>	microbiome
<http://www.yso.fi/onto/yso/p21644>	endophytes
<http://www.yso.fi/onto/yso/p2569>	grasses (family)
<http://www.yso.fi/onto/yso/p5677>	succession (ecology)
<http://www.yso.fi/onto/yso/p6884>	spreading (process)
<http://www.yso.fi/onto/yso/p11841>	transplantation (planting)
<http://www.yso.fi/onto/yso/p13860>	habitat factors
<http://www.yso.fi/onto/yso/p4313>	dunes
<http://www.yso.fi/onto/yso/p28496>	frigid zone
<http://www.yso.fi/onto/yso/p12434>	arctic region
