<http://www.yso.fi/onto/yso/p6433>	water exercise
<http://www.yso.fi/onto/yso/p795>	effects (results)
<http://www.yso.fi/onto/yso/p22622>	ability to move
<http://www.yso.fi/onto/yso/p16991>	women
<http://www.yso.fi/onto/yso/p12334>	arthrosis
<http://www.yso.fi/onto/yso/p14204>	knees
<http://www.yso.fi/onto/yso/p22871>	joint diseases
<http://www.yso.fi/onto/yso/p10515>	physiotherapy
<http://www.yso.fi/onto/yso/p25424>	joint cartilage
<http://www.yso.fi/onto/yso/p27172>	physical functioning
<http://www.yso.fi/onto/yso/p26989>	body composition
<http://www.yso.fi/onto/yso/p3706>	walking (motion)
<http://www.yso.fi/onto/yso/p12131>	magnetic resonance imaging
